AtomicNumber,Name_JA,Name_EN,Symbol,AtomicWeight
1,水素,hydrogen,H,1.008
2,ヘリウム,helium,He,4.003
3,リチウム,lithium,Li,6.941
4,ベリリウム,beryllium,Be,9.012
5,ホウ素,boron,B,10.81
6,炭素,carbon,C,12.01
7,窒素,nitrogen,N,14.01
8,酸素,oxygen,O,16.00
9,フッ素,fluorine,F,19.00
10,ネオン,neon,Ne,20.18
11,ナトリウム,sodium,Na,22.99
12,マグネシウム,magnesium,Mg,24.31
13,アルミニウム,aluminium,Al,26.98
14,ケイ素,silicon,Si,28.09
15,リン,phosphorus,P,30.97
16,硫黄,sulfur,S,32.07
17,塩素,chlorine,Cl,35.45
18,アルゴン,argon,Ar,39.95
19,カリウム,potassium,K,39.10
20,カルシウム,calcium,Ca,40.08
21,スカンジウム,scandium,Sc,44.96
22,チタン,titanium,Ti,47.87
23,バナジウム,vanadium,V,50.94
24,クロム,chromium,Cr,52.00
25,マンガン,manganese,Mn,54.94
26,鉄,iron,Fe,55.85
27,コバルト,cobalt,Co,58.93
28,ニッケル,nickel,Ni,58.69
29,銅,copper,Cu,63.55
30,亜鉛,zinc,Zn,65.38
31,ガリウム,gallium,Ga,69.72
32,ゲルマニウム,germanium,Ge,72.63
33,ヒ素,arsenic,As,74.92
34,セレン,selenium,Se,78.97
35,臭素,bromine,Br,79.90
36,クリプトン,krypton,Kr,83.80
37,ルビジウム,rubidium,Rb,85.47
38,ストロンチウム,strontium,Sr,87.62
39,イットリウム,yttrium,Y,88.91
40,ジルコニウム,zirconium,Zr,91.22
41,ニオブ,niobium,Nb,92.91
42,モリブデン,molybdenum,Mo,95.95
43,テクネチウム,technetium,Tc,(99)
44,ルテニウム,ruthenium,Ru,101.1
45,ロジウム,rhodium,Rh,102.9
46,パラジウム,palladium,Pd,106.4
47,銀,silver,Ag,107.9
48,カドミウム,cadmium,Cd,112.4
49,インジウム,indium,In,114.8
50,スズ,tin,Sn,118.7
51,アンチモン,antimony,Sb,121.8
52,テルル,tellurium,Te,127.6
53,ヨウ素,iodine,I,126.9
54,キセノン,xenon,Xe,131.3
55,セシウム,caesium,Cs,132.9
56,バリウム,barium,Ba,137.3
57,ランタン,lanthanum,La,138.9
58,セリウム,cerium,Ce,140.1
59,プラセオジム,praseodymium,Pr,140.9
60,ネオジム,neodymium,Nd,144.2
61,プロメチウム,promethium,Pm,(145)
62,サマリウム,samarium,Sm,150.4
63,ユウロピウム,europium,Eu,152.0
64,ガドリニウム,gadolinium,Gd,157.3
65,テルビウム,terbium,Tb,158.9
66,ジスプロシウム,dysprosium,Dy,162.5
67,ホルミウム,holmium,Ho,164.9
68,エルビウム,erbium,Er,167.3
69,ツリウム,thulium,Tm,168.9
70,イッテルビウム,ytterbium,Yb,173.0
71,ルテチウム,lutetium,Lu,175.0
72,ハフニウム,hafnium,Hf,178.5
73,タンタル,tantalum,Ta,180.9
74,タングステン,tungsten,W,183.8
75,レニウム,rhenium,Re,186.2
76,オスミウム,osmium,Os,190.2
77,イリジウム,iridium,Ir,192.2
78,白金,platinum,Pt,195.1
79,金,gold,Au,197.0
80,水銀,mercury,Hg,200.6
81,タリウム,thallium,Tl,204.4
82,鉛,lead,Pb,207.2
83,ビスマス,bismuth,Bi,209.0
84,ポロニウム,polonium,Po,(210)
85,アスタチン,astatine,At,(210)
86,ラドン,radon,Rn,(222)
87,フランシウム,francium,Fr,(223)
88,ラジウム,radium,Ra,(226)
89,アクチニウム,actinium,Ac,(227)
90,トリウム,thorium,Th,232.0
91,プロトアクチニウム,protacum,Pa,231.0
92,ウラン,uranium,U,238.0
93,ネプツニウム,neptunium,Np,(237)
94,プルトニウム,plutonium,Pu,(239)
95,アメリシウム,americium,Am,(243)
96,キュリウム,curium,Cm,(247)
97,バークリウム,berkelium,Bk,(247)
98,カリホルニウム,californium,Cf,(252)
99,アインスタイニウム,einsteinium,Es,(252)
100,フェルミウム,fermium,Fm,(257)
101,メンデレビウム,mendelevium,Md,(258)
102,ノーベリウム,nobelium,No,(259)
103,ローレンシウム,lawrencium,Lr,(262)
104,ラザホージウム,rutherfordium,Rf,(267)
105,ドブニウム,dubnium,Db,(268)
106,シーボーギウム,seaborgium,Sg,(271)
107,ボーリウム,bohrium,Bh,(272)
108,ハッシウム,hassium,Hs,(277)
109,マイトネリウム,meitnerium,Mt,(276)
110,ダームスタチウム,darmstadtium,Ds,(281)
111,レントゲニウム,roentgenium,Rg,(280)
112,コペルニシウム,copernicium,Cn,(285)
113,ニホニウム,nihonium,Nh,(278)
114,フレロビウム,flerovium,Fl,(289)
115,モスコビウム,moscovium,Mc,(289)
116,リバモリウム,livermorium,Lv,(293)
117,テネシン,tennessine,Ts,(293)
118,オガネソン,oganesson,Og,(294)