分類,鉱物名,英語,化学組成
元素鉱物,自然銅,native copper,Cu
元素鉱物,自然銀,native silver,Ag
元素鉱物,自然金,native gold,Au
元素鉱物,自然白金,native platinum,Pt
元素鉱物,自然ニッケル,native nickel,Ni
元素鉱物,自然鉄,native iron,Fe
元素鉱物,自然亜鉛,native zinc,Zn
元素鉱物,自然砒,native arsenic,As
元素鉱物,自然アンチモニー,native antimony,Sb
元素鉱物,自然蒼鉛,native bismuth,Bi
元素鉱物,ダイヤモンド,diamond,C
元素鉱物,自然珪素,native silicon,Si
元素鉱物,グラファイト,graphite,C
元素鉱物,自然硫黄,native sulphur,S
硫化鉱物,方鉛鉱,galena,PbS
硫化鉱物,閃マンガン鉱,alabandite,MnS
硫化鉱物,辰砂,cinnabar,HgS
硫化鉱物,閃亜鉛鉱,sphalerite,ZnS
硫化鉱物,黄銅鉱,chalcopyrite,CuFeS2
硫化鉱物,ウルツ鉱,wurtzite,ZnS
硫化鉱物,紅砒ニッケル鉱,nickeline,NiAs
硫化鉱物,磁硫鉄鉱,pyrrhotite,Fe1-xS
硫化鉱物,黄鉄鉱,pyrite,FeS2
硫化鉱物,白鉄鉱,marcasite,FeS2
硫化鉱物,輝安鉱,stibnite,Sb2S3
硫化鉱物,輝水鉛鉱,molybdenite,MoS2
酸化鉱物,赤銅鉱,cuprite,Cu2O
酸化鉱物,緑マンガン鉱,manganosite,MnO
酸化鉱物,紅亜鉛鉱,zincite,ZnO
酸化鉱物,コランダム,corundum,Al2O3
酸化鉱物,赤鉄鉱,hematite,Fe2O3
酸化鉱物,ルチル,rutile,TiO2
酸化鉱物,錫石,cassiterite,SnO2
酸化鉱物,スティショバイト,stishovite,SiO2
酸化鉱物,クリストバライト,cristobalite,SiO2
酸化鉱物,石英,quartz,SiO2
酸化鉱物,スピネル,spinel,MgAl2O4
酸化鉱物,鉄スピネル,hercynite,FeAl2O4
酸化鉱物,フランクリン鉱,franklinite,ZnFe2O4
酸化鉱物,磁鉄鉱,magnetite,FeFe2O4
酸化鉱物,ウルボスピネル,ulvospinel,TiFe2O4
酸化鉱物,ハウスマン鉱,hausmannite,MnMn2O4
酸化鉱物,チタン鉄鉱,ilmenite,FeTiO3
酸化鉱物,ペロブスカイト,perovskite,CaTiO3
酸化鉱物,ブルーサイト,brucite,Mg(OH)2
酸化鉱物,ギブサイト,gibbsite,Al(OH)3
ハロゲン化鉱物,岩塩,halite,NaCl
ハロゲン化鉱物,蛍石,fluorite,CaF2
炭酸塩鉱物,方解石,calcite,CaCO3
炭酸塩鉱物,菱マンガン鉱,rhodochrosite,MnCO3
炭酸塩鉱物,菱鉄鉱,siderite,FeCO3
炭酸塩鉱物,菱苦土鉱,magnesite,MgCO3
炭酸塩鉱物,アラゴナイト,aragonite,CaCO3
炭酸塩鉱物,白鉛鉱,cerussite,PbCO3
炭酸塩鉱物,毒重土石,witherite,BaCO3
炭酸塩鉱物,ストロンチアン石,strontianite,SrCO3
炭酸塩鉱物,ドロマイト,dolomite,CaMg(CO3)2
硼酸塩鉱物,小藤石,kotoite,Mg3(BO3)2
硫酸塩鉱物・タングステン酸塩鉱物,硬石膏,anhydrite,CaSO4
硫酸塩鉱物・タングステン酸塩鉱物,重晶石,barite,BaSO4
硫酸塩鉱物・タングステン酸塩鉱物,天青石,celestine,SrSO4
硫酸塩鉱物・タングステン酸塩鉱物,硫酸鉛鉱,anglesite,PbSO4
硫酸塩鉱物・タングステン酸塩鉱物,石こう,gypsum,CaSO4・2H2O
硫酸塩鉱物・タングステン酸塩鉱物,灰重石,scheelite,CaWO4
燐酸塩・砒酸塩・バナジン酸塩鉱物,ふっ素燐灰石,fluorapatite,Ca5(PO4)3F
燐酸塩・砒酸塩・バナジン酸塩鉱物,塩素燐灰石,chlorapatite,Ca5(PO4)3Cl
燐酸塩・砒酸塩・バナジン酸塩鉱物,水酸燐灰石,hydroxylapatite,Ca5(PO4)3(OH)
燐酸塩・砒酸塩・バナジン酸塩鉱物,緑鉛鉱,pyromorphite,Pb5(PO4)3Cl
燐酸塩・砒酸塩・バナジン酸塩鉱物,黄鉛鉱,mimetite,Pb5(AsO4)3Cl
燐酸塩・砒酸塩・バナジン酸塩鉱物,褐鉛鉱,vanadinite,Pb5(VO4)3Cl
ネソ珪酸塩鉱物,苦土かんらん石,forsterite,Mg2SiO4
ネソ珪酸塩鉱物,鉄かんらん石,fayalite,Fe2SiO4
ネソ珪酸塩鉱物,モンチセリ石,monticellite,CaMgSiO4
ネソ珪酸塩鉱物,ヒューム石,humite,Mg7(SiO4)3(OH)2
ネソ珪酸塩鉱物,コンドロ石,chondrodite,Mg5(SiO4)2(OH)2
ネソ珪酸塩鉱物,ジルコン,zircon,ZrSiO4
ネソ珪酸塩鉱物,グロシュラー,grossular,Ca3Al2(SiO4)3
ネソ珪酸塩鉱物,アルマンディン,almandine,Fe3Al2(SiO4)3
ネソ珪酸塩鉱物,パイロープ,pyrope,Mg3Al2(SiO4)3
ネソ珪酸塩鉱物,スペッサルティン,spessartine,Mn3Al2(SiO4)3
ネソ珪酸塩鉱物,アンドラダイト,andradite,Ca3Fe2(SiO4)3
ネソ珪酸塩鉱物,ウバロバイト,uvarovite,Ca3Cr2(SiO4)3
ネソ珪酸塩鉱物,珪線石,sillimanite,Al2SiO5
ネソ珪酸塩鉱物,紅柱石,andalusite,Al2SiO5
ネソ珪酸塩鉱物,藍晶石,kyanite,Al2SiO5
ソロ珪酸塩鉱物,異極鉱,hemimorphite,Zn4Si2O7(OH)2・H2O
ソロ珪酸塩鉱物,ベスブ石,vesuvianite,"Ca19(Mg, Fe, Al)5(Al, Fe)8(O, OH)10(SiO4)10(Si2O7)4"
ソロ珪酸塩鉱物,緑簾石,epidote,Ca2Al2Fe(Si2O7)(SiO4)O(OH)
ソロ珪酸塩鉱物,紅簾石,piedmontite,Ca2Al2Mn(Si2O7)(SiO4)O(OH)
ソロ珪酸塩鉱物,斜灰簾石,clinozoisite,Ca2Al3(Si2O7)(SiO4)O(OH)
ソロ珪酸塩鉱物,灰簾石,zoisite,Ca2Al3(Si2O7)(SiO4)O(OH)
シクロ珪酸塩鉱物,ベニト石,benitoite,BaTiSi3O9
シクロ珪酸塩鉱物,緑柱石,beryl,Be3Al2Si6O18
シクロ珪酸塩鉱物,鉄電気石,schorl,NaFe3Al6(BO3)3Si6O18(OH)4
シクロ珪酸塩鉱物,大隅石,osumilite,"(K, Na, Ca)Fe2Al3(Si10Al2O30)・H2O"
イノ珪酸塩鉱物,透輝石,diopside,CaMgSi2O6
イノ珪酸塩鉱物,ヘデンベルグ輝石,hedenbergite,CaFeSi2O6
イノ珪酸塩鉱物,ヨハンセン輝石,johannsenite,CaMnSi2O6
イノ珪酸塩鉱物,ひすい輝石,jadeite,NaAlSi2O6
イノ珪酸塩鉱物,エジリン輝石,aegirine,NaFeSi2O6
イノ珪酸塩鉱物,珪灰石,wollastonite,Ca3Si3O9
イノ珪酸塩鉱物,ばら輝石,rhodonite,"(Mn, Ca)5Si5O15"
イノ珪酸塩鉱物,パイロクスマンガン石,pyroxmangite,Mn7Si7O21
イノ珪酸塩鉱物,透閃石,tremolite,Ca2Mg5Si8O22(OH)2
イノ珪酸塩鉱物,直閃石,anthophyllite,Mg7Si8O22(OH)2
イノ珪酸塩鉱物,ゾノトラ石,xonotlite,Ca6Si6O17(OH)2
イノ珪酸塩鉱物,単斜ジムトンプソン石,clinojimthompsonite,"(Mg, Fe)17Si20O54(OH)6"
イノ珪酸塩鉱物,チェスタライト,chesterite,"(Mg, Fe)17Si20O54(OH)6"
フィロ珪酸塩鉱物,白雲母,muscovite,"KAl2(Si3AlO10)(OH, F)2"
フィロ珪酸塩鉱物,金雲母,phlogopite,"KMg3(Si3AlO10)(OH, F)2"
フィロ珪酸塩鉱物,パイロフィライト,pyrophyllite,Al2Si4O10(OH)2
フィロ珪酸塩鉱物,滑石,talc,Mg3Si4O10(OH)2
フィロ珪酸塩鉱物,クリノクロア（緑泥石の一種）,clinochlore,Mg5Al(Si3AlO10)(OH)8
フィロ珪酸塩鉱物,アンチゴライト（蛇紋石の一種）,antigorite,Mg6Si4O10(OH)8
フィロ珪酸塩鉱物,カオリナイト,kaolinite,Al4Si4O10(OH)8
フィロ珪酸塩鉱物,モンモリロナイト,montmorillonite,"(Na, Ca)0.3(Al, Mg)2(Si4O10)(OH)2・nH2O"
フィロ珪酸塩鉱物,スチルプノメレーン,stilpnomelane,"K3-x(Fe, Mn, Mg)24(Si, Al)36O84(O, OH)30"
テクト珪酸塩鉱物,ネフェリン,nepheline,KNa3(AlSiO4)4
テクト珪酸塩鉱物,正長石,orthoclase,KAlSi3O8
テクト珪酸塩鉱物,曹長石,albite,NaAlSi3O8
テクト珪酸塩鉱物,灰長石,anorthite,CaAl2Si2O8
テクト珪酸塩鉱物,ソーダ沸石,natrolite,Na2Al2Si3O10・2H2O
テクト珪酸塩鉱物,方沸石,analcime,NaAlSi2O6・H2O
テクト珪酸塩鉱物,菱沸石,chabazite,"(Ca0.5, Na, K)Al4Si8O24・12H2O"
テクト珪酸塩鉱物,輝沸石,heulandite,"(Ca0.5, Na, K)4.5Al9Si27O72・24H2O"